Position;TimePoint;SeedX;SeedY;CentroidX;CentroidY;Area;Eccentricity;SumCh00;StdDevCh00
1;1;1172;1905;1148.52;1928.69;1617;0.934337;101.031;0.00478471
1;1;1091;1875;1116.47;1891.13;1351;0.98055;80.2157;0.00611571
1;1;1244;1669;1257.8;1682.2;536;0.940051;23.6941;0.0106155
1;1;1199;1934;1177.13;1967.01;1751;0.970624;110.22;0.0050616
1;1;925;1713;928.128;1726.43;617;0.495944;28.2588;0.00883196
1;1;974;1706;972.968;1727.15;1209;0.761263;72.3569;0.00520906
1;1;1077;1819;1101.96;1840.06;1250;0.98511;72.451;0.00415556
1;1;1043;1762;1045.83;1773.83;463;0.461708;18.9569;0.0123313
1;1;1584;902;1588.66;932.715;1450;0.628974;83.2118;0.00398539
1;1;1393;676;1396.73;694.671;1342;0.61872;80.698;0.00523144
1;1;1058;1487;1061.77;1512.58;1368;0.865079;81.3529;0.0055944
1;1;1310;1152;1322.7;1170.89;1323;0.831381;78.2196;0.00491578
1;1;1526;784;1517.04;802.376;977;0.961248;58.5647;0.00707119
1;1;1443;668;1440.29;690.416;1180;0.884542;68.1176;0.00606894
1;1;1582;831;1580.18;849.405;1079;0.665005;62.0667;0.00458442
1;1;1496;762;1499.88;775.701;606;0.659468;30.1059;0.0050325
1;1;1376;601;1376.76;617.549;1044;0.745817;49.302;0.00643469
1;1;1416;976;1425.48;991.351;814;0.956212;41.8157;0.00398364
1;1;1440;607;1452.9;631.602;1532;0.89451;91.6471;0.00523926
1;1;1414;619;1410.27;642.44;1116;0.916468;64.451;0.00553304
1;1;1277;1062;1277.04;1094.35;1817;0.897858;111.82;0.00403716
1;1;1438;389;1443.54;405.362;826;0.689007;45.6706;0.00456893
1;1;1391;1009;1386.81;1020.39;1039;0.996034;56.898;0.00421242
1;1;1318;1032;1315.45;1062.97;1807;0.918336;108.078;0.00472736
1;1;1171;209;1168.83;225.987;1034;0.789656;51.7686;0.00732981
1;1;1141;242;1149.43;265.011;1118;0.812823;67.8353;0.00493461
1;1;1409;401;1411.97;416.685;511;0.911958;25.7961;0.00430544
1;1;1357;377;1365.36;390.351;638;0.775057;30.6549;0.00743606
1;1;1941;1305;1963.41;1329.08;1445;0.810709;92.3412;0.00515874
1;1;1714;1685;1721.27;1713.98;1189;0.938723;72.4549;0.00733079
1;1;1849;1279;1862.03;1294.8;620;0.958026;33.1255;0.00419236
1;1;1458;1634;1459.13;1649.33;727;0.429328;36.6902;0.00408192
1;1;1499;1639;1498.58;1652.56;625;0.737727;31.2157;0.00461834
1;1;1666;1795;1670.99;1806.96;590;0.942429;30.0863;0.00425063
1;1;1576;1438;1582.21;1454.3;946;0.526305;45.8353;0.00532843
1;1;1435;539;1435.03;557.526;1021;0.336163;50.0235;0.0061532
1;1;1331;394;1334.6;408.662;616;0.677247;28.1725;0.00694304
1;1;1523;1362;1525.93;1381.2;1060;0.518804;53.2471;0.00462895
1;1;1649;443;1647.6;454.701;626;0.832632;29.4353;0.00659559
1;1;1074;286;1075.43;300.082;537;0.680999;27.9451;0.00460732
1;1;1186;1020;1185.78;1033.84;656;0.817275;34.3765;0.00331361
1;1;1055;238;1056.92;254.871;967;0.721942;49.702;0.00547956
1;1;1041;282;1045.57;294.443;499;0.793121;24.5843;0.00615998
1;1;415;442;419.065;458.839;1032;0.556935;46.1412;0.00789046
